Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,suma,classes,ncloc,functions,duplicated_lines,test_errors,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,directories,file_complexity,violations,duplicated_blocks,duplicated_files,lines,public_api,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,,%Toxicos
53,1.65625,892,12,2.45519947388583,961.111449473886,242,25942,1288,568,0,0,42.7,2172,4146,13.8,1.1,590,136,3.7,68,51,12,49518,,6359,0,8,33,18,9,7033,42.7,0,0,1252,1,1,61,0,7,0.2,0.14569797204174,68,0,0,0,0,1,0,1,1232,50790,0,0,151711.345697972,2
9,1.125,839,2,49.3827160493827,900.507716049383,243,25840,1289,568,0,0,42.6,2168,4148,13.8,1.1,591,131,3.7,67,51,12,49432,,6264,0,8,33,17,9,7024,42.6,0,0,1247,1,1,60,0,7,0.2,0.173913043478261,67,0,0,0,0,1,0,1,1233,48300,0,0,148917.173913043,2
29,2.07142857142857,830,5,10.5842328531228,876.655661424551,242,25183,1284,565,0,0,42.4,2123,4119,14.1,1.2,580,121,3.7,62,51,12,48553,,6148,0,6,32,16,8,6892,42.4,0,0,1191,1,1,55,0,7,0.2,0.168208578637511,62,0,0,0,0,1,0,1,1173,35670,0,0,134263.168208579,1
42,2.47058823529412,801,11,3.81390657504886,860.284494810343,224,24577,1238,565,0,0,41.9,2043,3967,13.9,1.2,556,113,3.7,56,51,12,47267,,5895,0,6,29,14,7,6631,41.9,0,0,1166,1,1,49,0,7,0.2,0.159208982738395,56,0,0,0,0,1,0,1,1128,59670,0,0,155433.959208983,2
34,3.4,759,7,5.25657071339174,808.656570713392,223,24374,1231,565,0,0,40.4,2008,3937,13.9,1.2,554,114,3.6,54,51,12,46953,,5814,0,7,26,14,7,6536,40.4,0,0,1148,1,1,47,0,7,0.2,0.0868055555555556,54,0,0,0,0,1,0,1,1092,115200,0,0,210131.786805556,1
47,2.76470588235294,725,9,3.33024976873266,787.094955651086,217,23569,1180,571,0,0,37.1,1883,3776,13.8,1.3,545,112,3.5,69,55,12,45460,,5495,0,6,47,10,6,6212,37.1,0,0,1579,1,1,60,0,9,0.2,0.10149642160052,69,0,0,0,0,1,0,1,1011,230550,0,0,322600.101496422,2
0,0,678,0,0,678,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,0,,,,,,,0,0,0,1
158,5.64285714285714,12718,9,2.09458596935247,12892.7374431122,1412,93970,11653,9900,0,0,,19828,4170,4.2,6.4,1182,,16.8,261,535,179,154340,,38353,0,134,77,34,16,,,0,0,5243,1,18,261,0,0,0.2,0.0172711571675302,261,0,0,0,0,1,0,1,14390,5790,0,1,362038.617271157,2
660,3.28358208955224,12560,29,0.295749811731615,13252.5793319013,1406,93280,11564,9906,0,0,,19681,4131,4.2,6.5,1177,,16.7,271,535,180,153290,,38102,0,134,81,39,17,,,0,0,5267,1,18,271,0,0,0.2,0.463365189690125,271,0,0,0,0,1,0,1,14256,34530,0,1,388439.06336519,2
0,0,11900,0,0,11900,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,0,,,,,,,0,0,0,1
